기관 이름,주소,전화번호,위도,경도,행정동 코드,행정동 이름,종류
원동면 복지센터 83,경상남도 양산시 원동면로 200,055-4000-2231,35.409104,129.102306,48330130,원동면,노숙인재활시설
원동면 복지센터 16,경상남도 양산시 원동면로 201,055-4001-2984,35.440246,129.109375,48330130,원동면,장애인공동생활가정
서창동 복지센터 57,경상남도 양산시 서창동로 202,055-4002-8752,35.403464,129.091167,48330262,서창동,노인복지관
평산동 복지센터 69,경상남도 양산시 평산동로 203,055-4003-4185,35.392568,129.084757,48330268,평산동,노인주거복지시설
양주동 복지센터 79,경상남도 양산시 양주동로 204,055-4004-9616,35.470628,129.199578,48330253,양주동,장애인단기거주시설
삼성동 복지센터 76,경상남도 양산시 삼성동로 205,055-4005-9381,35.352296,129.126315,48330256,삼성동,장애인지역사회재활시설
중앙동 복지센터 65,경상남도 양산시 중앙동로 206,055-4006-9076,35.399946,129.18705,48330250,중앙동,장애인지역사회재활시설
동면 복지센터 21,경상남도 양산시 동면로 207,055-4007-9815,35.486342,129.147797,48330120,동면,장애인직업재활시설(장애인보호작업장)
원동면 복지센터 92,경상남도 양산시 원동면로 208,055-4008-4064,35.37785,129.069317,48330130,원동면,장애인거주시설
삼성동 복지센터 4,경상남도 양산시 삼성동로 209,055-4009-9168,35.346514,129.122303,48330256,삼성동,장애인단기거주시설
평산동 복지센터 77,경상남도 양산시 평산동로 210,055-4010-4392,35.388951,129.145283,48330268,평산동,장애인지역사회재활시설
삼성동 복지센터 23,경상남도 양산시 삼성동로 211,055-4011-8249,35.326246,129.045779,48330256,삼성동,장애인단기거주시설
소주동 복지센터 2,경상남도 양산시 소주동로 212,055-4012-5234,35.436894,129.171704,48330265,소주동,장애인직업재활시설(장애인보호작업장)
소주동 복지센터 51,경상남도 양산시 소주동로 213,055-4013-9159,35.346918,129.119381,48330265,소주동,노인주거복지시설
평산동 복지센터 91,경상남도 양산시 평산동로 214,055-4014-3630,35.420166,129.030103,48330268,평산동,노숙인재활시설
물금읍 복지센터 10,경상남도 양산시 물금읍로 215,055-4015-2121,35.37331,129.026141,48330110,물금읍,장애인공동생활가정
물금읍 복지센터 30,경상남도 양산시 물금읍로 216,055-4016-2671,35.492146,129.192848,48330110,물금읍,재가노인복지시설
중앙동 복지센터 49,경상남도 양산시 중앙동로 217,055-4017-5805,35.498119,129.013087,48330250,중앙동,장애인직업재활시설(장애인보호작업장)
하북면 복지센터 32,경상남도 양산시 하북면로 218,055-4018-7270,35.313619,129.1888,48330150,하북면,노인일자리지원기관
평산동 복지센터 51,경상남도 양산시 평산동로 219,055-4019-6828,35.442846,129.197244,48330268,평산동,노인일자리지원기관
삼성동 복지센터 85,경상남도 양산시 삼성동로 220,055-4020-7465,35.498739,129.015958,48330256,삼성동,장애인공동생활가정
덕계동 복지센터 66,경상남도 양산시 덕계동로 221,055-4021-6331,35.337676,129.071611,48330271,덕계동,장애인단기거주시설
덕계동 복지센터 78,경상남도 양산시 덕계동로 222,055-4022-6298,35.437959,129.108745,48330271,덕계동,노인의료복지시설
동면 복지센터 52,경상남도 양산시 동면로 223,055-4023-8589,35.449861,129.056814,48330120,동면,노숙인재활시설
중앙동 복지센터 24,경상남도 양산시 중앙동로 224,055-4024-1167,35.363229,129.101901,48330250,중앙동,노인일자리지원기관
삼성동 복지센터 82,경상남도 양산시 삼성동로 225,055-4025-7937,35.32361,129.129935,48330256,삼성동,노인일자리지원기관
물금읍 복지센터 32,경상남도 양산시 물금읍로 226,055-4026-6785,35.357756,129.050789,48330110,물금읍,노인일자리지원기관
평산동 복지센터 53,경상남도 양산시 평산동로 227,055-4027-8127,35.445977,129.122107,48330268,평산동,노인의료복지시설
강서동 복지센터 74,경상남도 양산시 강서동로 228,055-4028-7533,35.362114,129.050396,48330259,강서동,장애인지역사회재활시설
삼성동 복지센터 99,경상남도 양산시 삼성동로 229,055-4029-8459,35.364639,129.107869,48330256,삼성동,사회복지관
물금읍 복지센터 5,경상남도 양산시 물금읍로 230,055-4030-7378,35.384486,129.085788,48330110,물금읍,장애인지역사회재활시설
상북면 복지센터 8,경상남도 양산시 상북면로 231,055-4031-8073,35.390819,129.049975,48330140,상북면,노숙인재활시설
강서동 복지센터 91,경상남도 양산시 강서동로 232,055-4032-5514,35.427173,129.072793,48330259,강서동,노인복지관
물금읍 복지센터 57,경상남도 양산시 물금읍로 233,055-4033-1556,35.434714,129.13582,48330110,물금읍,노인주거복지시설
서창동 복지센터 88,경상남도 양산시 서창동로 234,055-4034-8649,35.442403,129.130361,48330262,서창동,재가노인복지시설
소주동 복지센터 60,경상남도 양산시 소주동로 235,055-4035-8932,35.408906,129.082409,48330265,소주동,사회복지관
상북면 복지센터 32,경상남도 양산시 상북면로 236,055-4036-6594,35.40784,129.178657,48330140,상북면,재가노인복지시설
하북면 복지센터 21,경상남도 양산시 하북면로 237,055-4037-2300,35.370328,129.052008,48330150,하북면,장애인직업재활시설(장애인보호작업장)
삼성동 복지센터 71,경상남도 양산시 삼성동로 238,055-4038-1314,35.361876,129.05092,48330256,삼성동,노인복지관
양주동 복지센터 58,경상남도 양산시 양주동로 239,055-4039-2411,35.396159,129.100287,48330253,양주동,노인복지관
동면 복지센터 22,경상남도 양산시 동면로 240,055-4040-4520,35.372614,129.118723,48330120,동면,사회복지관
물금읍 복지센터 73,경상남도 양산시 물금읍로 241,055-4041-5865,35.326261,129.165564,48330110,물금읍,노숙인재활시설
강서동 복지센터 12,경상남도 양산시 강서동로 242,055-4042-1068,35.39331,129.161055,48330259,강서동,노인주거복지시설
강서동 복지센터 6,경상남도 양산시 강서동로 243,055-4043-9946,35.325995,129.047513,48330259,강서동,노숙인재활시설
서창동 복지센터 75,경상남도 양산시 서창동로 244,055-4044-6314,35.35641,129.151066,48330262,서창동,재가노인복지시설
동면 복지센터 29,경상남도 양산시 동면로 245,055-4045-7867,35.48968,129.178238,48330120,동면,장애인공동생활가정
상북면 복지센터 23,경상남도 양산시 상북면로 246,055-4046-1191,35.413919,129.19382,48330140,상북면,장애인직업재활시설(장애인보호작업장)
하북면 복지센터 100,경상남도 양산시 하북면로 247,055-4047-3989,35.490053,129.128466,48330150,하북면,사회복지관
양주동 복지센터 55,경상남도 양산시 양주동로 248,055-4048-4846,35.395864,129.011061,48330253,양주동,노인주거복지시설
중앙동 복지센터 74,경상남도 양산시 중앙동로 249,055-4049-7799,35.427738,129.190541,48330250,중앙동,재가노인복지시설
